REF_START	REF_END	QUERY_START	QUERY_END	REF_LENGTH	QUERY_LENGTH	IDENTITY	REF_NAME	QUERY_NAME
9	2537	62077	64608	2529	2532	86.15	JX128258	MH051335
2950	2477	65025	64552	474	474	90.51	JX128258	MH051335
3905	4105	67423	67617	201	195	76.12	JX128258	MH051335
4098	3127	65985	65020	972	966	83.02	JX128258	MH051335
7119	5050	2089	20	2070	2070	96.67	JX128258	MH051335
7119	4933	70735	68561	2187	2175	93.15	JX128258	MH051335
8564	7113	72179	70728	1452	1452	94.21	JX128258	MH051335
8738	7113	3707	2082	1626	1626	93.73	JX128258	MH051335
9292	8690	4262	3648	603	615	89.27	JX128258	MH051335
10184	9342	5123	4281	843	843	90.04	JX128258	MH051335
13031	10182	8250	5404	2850	2847	74.29	JX128258	MH051335
13919	13008	9137	8226	912	912	93.75	JX128258	MH051335
21145	43740	16102	38700	22596	22599	96.11	JX128258	MH051335
21148	14186	16106	9144	6963	6963	95.91	JX128258	MH051335
50358	43714	45319	38675	6645	6645	93.6	JX128258	MH051335
53157	50173	48245	45225	2985	3021	96.03	JX128258	MH051335
53786	53148	48873	48235	639	639	96.71	JX128258	MH051335
66447	53782	61767	48967	12666	12801	93.74	JX128258	MH051335
5459	3015	5666	3198	2445	2469	88.65	MH051335	MK373776
8250	6151	8426	6357	2100	2070	72.11	MH051335	MK373776
9172	20757	9348	20933	11586	11586	98.14	MH051335	MK373776
9174	8227	9351	8404	948	948	94.3	MH051335	MK373776
20756	20902	20931	21077	147	147	100.0	MH051335	MK373776
20903	21052	21079	21228	150	150	100.0	MH051335	MK373776
21052	21576	21229	21753	525	525	99.43	MH051335	MK373776
21626	21874	21805	22053	249	249	97.59	MH051335	MK373776
21870	45311	22050	45488	23442	23439	94.18	MH051335	MK373776
48245	45225	48295	45311	3021	2985	96.13	MH051335	MK373776
48873	48235	48924	48286	639	639	96.71	MH051335	MK373776
53073	49009	52993	48956	4065	4038	94.83	MH051335	MK373776
57081	53008	57002	52923	4074	4080	95.81	MH051335	MK373776
61701	57079	61513	56999	4623	4515	94.68	MH051335	MK373776
62186	64579	61520	63913	2394	2394	84.71	MH051335	MK373776
64710	64552	64043	63885	159	159	96.23	MH051335	MK373776
64718	65023	64349	64654	306	306	78.43	MH051335	MK373776
65291	66325	64645	65679	1035	1035	93.62	MH051335	MK373776
66606	67484	65626	66519	879	894	89.26	MH051335	MK373776
3195	4400	67330	66125	1206	1206	92.29	MK373776	MH816966
4424	4534	66133	66023	111	111	81.08	MK373776	MH816966
4521	5021	66043	65543	501	501	92.22	MK373776	MH816966
5602	5018	64961	65545	585	585	93.33	MK373776	MH816966
6912	16190	63640	54362	9279	9279	88.62	MK373776	MH816966
16179	20933	54372	49618	4755	4755	97.92	MK373776	MH816966
20931	21077	49619	49473	147	147	100.0	MK373776	MH816966
21079	21228	49472	49323	150	150	98.0	MK373776	MH816966
21198	21755	49348	48797	558	552	91.94	MK373776	MH816966
21805	22053	48749	48501	249	249	93.98	MK373776	MH816966
22050	38870	48505	31682	16821	16824	90.39	MK373776	MH816966
48922	38816	21608	31735	10107	10128	93.63	MK373776	MH816966
52993	48956	17406	21470	4038	4065	95.42	MK373776	MH816966
57002	52923	13398	17471	4080	4074	95.66	MK373776	MH816966
61481	64045	8485	5888	2565	2598	82.91	MK373776	MH816966
61513	56999	8886	13400	4515	4515	96.81	MK373776	MH816966
64800	64336	5425	5898	465	474	68.35	MK373776	MH816966
65626	66519	4217	3339	894	879	88.26	MK373776	MH816966
65711	64833	4467	5342	879	876	86.01	MK373776	MH816966
66616	67293	3248	2565	678	684	81.39	MK373776	MH816966
69861	67210	2	2653	2652	2652	96.38	MK373776	MH816966
