REF_START	REF_END	QUERY_START	QUERY_END	REF_LENGTH	QUERY_LENGTH	IDENTITY	REF_NAME	QUERY_NAME
1892	2681	1886	2675	790	790	99.6	NC_004829	NC_018407
2670	3147	2664	3144	478	481	98.1	NC_004829	NC_018407
3162	4548	3159	4545	1387	1387	99.1	NC_004829	NC_018407
5159	6077	5125	6073	919	949	98.3	NC_004829	NC_018407
6392	8294	6642	8289	1903	1648	98.5	NC_004829	NC_018407
8388	8538	8383	8533	151	151	100.0	NC_004829	NC_018407
8573	8924	8544	8892	352	349	98.2	NC_004829	NC_018407
8928	10080	8896	10048	1153	1153	100.0	NC_004829	NC_018407
10079	10886	10047	10854	808	808	97.0	NC_004829	NC_018407
36701	38690	36680	38669	1990	1990	99.3	NC_004829	NC_018407
38679	41352	38658	41331	2674	2674	99.6	NC_004829	NC_018407
41632	43873	41610	43848	2242	2239	98.9	NC_004829	NC_018407
43937	44768	43912	44743	832	832	99.6	NC_004829	NC_018407
44831	46565	44806	46540	1735	1735	100.0	NC_004829	NC_018407
46567	47557	46542	47532	991	991	100.0	NC_004829	NC_018407
47531	48509	47506	48484	979	979	99.6	NC_004829	NC_018407
48519	48681	48494	48656	163	163	96.2	NC_004829	NC_018407
48703	49672	48676	49645	970	970	99.6	NC_004829	NC_018407
50592	52587	50565	52551	1996	1987	99.6	NC_004829	NC_018407
75552	75996	75521	75965	445	445	100.0	NC_004829	NC_018407
76008	77505	75977	77474	1498	1498	100.0	NC_004829	NC_018407
77498	78143	77467	78112	646	646	97.6	NC_004829	NC_018407
78153	78906	78122	78875	754	754	98.4	NC_004829	NC_018407
79086	80058	79054	80026	973	973	99.0	NC_004829	NC_018407
87025	83638	86994	83607	3388	3388	99.5	NC_004829	NC_018407
87081	88560	87050	88529	1480	1480	99.5	NC_004829	NC_018407
88596	89727	88565	89696	1132	1132	99.7	NC_004829	NC_018407
89747	90497	89716	90466	751	751	99.5	NC_004829	NC_018407
90655	91714	90625	91690	1060	1066	98.3	NC_004829	NC_018407
128306	130139	126399	128232	1834	1834	98.0	NC_004829	NC_018407
130138	130843	128231	128936	706	706	97.0	NC_004829	NC_018407
