REF_START	REF_END	QUERY_START	QUERY_END	REF_LENGTH	QUERY_LENGTH	IDENTITY	REF_NAME	QUERY_NAME
1	2949	62069	65024	2949	2956	93.05	JX128258.1	MH051335.1
3127	3973	65020	65866	847	847	93.4	JX128258.1	MH051335.1
4958	8564	68580	72179	3607	3600	96.84	JX128258.1	MH051335.1
5030	10175	1	5114	5146	5114	95.94	JX128258.1	MH051335.1
10180	10334	5402	5556	155	155	96.77	JX128258.1	MH051335.1
10953	11208	6178	6433	256	256	89.84	JX128258.1	MH051335.1
12334	13920	7553	9138	1587	1586	94.58	JX128258.1	MH051335.1
14184	50337	9142	45298	36154	36157	96.96	JX128258.1	MH051335.1
50209	53786	45297	48873	3578	3577	96.87	JX128258.1	MH051335.1
53831	66227	49016	61439	12397	12424	96.58	JX128258.1	MH051335.1
66229	66414	61549	61734	186	186	95.7	JX128258.1	MH051335.1
66563	66854	61895	62186	292	292	92.81	JX128258.1	MH051335.1
1885	6113	68472	64245	4229	4228	94.76	MH051335.1	MH816966.1
6226	6433	64132	63925	208	208	92.79	MH051335.1	MH816966.1
6716	7248	63660	63128	533	533	86.3	MH051335.1	MH816966.1
7547	45298	62829	25055	37752	37775	95.38	MH051335.1	MH816966.1
45297	61445	25183	9034	16149	16150	98.05	MH051335.1	MH816966.1
61553	61734	9034	8853	182	182	95.05	MH051335.1	MH816966.1
61908	63207	8691	7392	1300	1300	92.46	MH051335.1	MH816966.1
63417	65018	7182	5582	1602	1601	93.76	MH051335.1	MH816966.1
65284	67616	5587	3207	2333	2381	92.5	MH051335.1	MH816966.1
1	3235	69862	66629	3235	3234	96.42	MH816966.1	MK373776.1
3339	4184	66519	65674	846	846	95.63	MH816966.1	MK373776.1
4498	5883	65680	64348	1386	1333	85.54	MH816966.1	MK373776.1
5872	7167	64060	62766	1296	1295	90.17	MH816966.1	MK373776.1
7392	8418	62541	61515	1027	1027	94.75	MH816966.1	MK373776.1
8885	21463	61514	48963	12579	12552	97.45	MH816966.1	MK373776.1
21607	62856	48923	7696	41250	41228	95.39	MH816966.1	MK373776.1
64845	67322	5719	3203	2478	2517	94.25	MH816966.1	MK373776.1
67721	68466	3030	2287	746	744	92.49	MH816966.1	MK373776.1
