REF_START	REF_END	QUERY_START	QUERY_END	REF_LENGTH	QUERY_LENGTH	IDENTITY	REF_NAME	QUERY_NAME
2	2554	2	2554	2553	2553	100.0	MT939486	MT939487
356692	355934	308729	309484	759	756	74.12	MT939486	MT939487
356631	356020	308790	309401	612	612	80.39	MT939486	MT939487
3030	12815	2575	12360	9786	9786	98.84	MT939486	MT939487
354543	351514	309974	313003	3030	3030	99.41	MT939486	MT939487
351516	348007	313187	316663	3510	3477	98.21	MT939486	MT939487
346756	344150	317147	319753	2607	2607	99.88	MT939486	MT939487
13253	15847	12798	15392	2595	2595	98.61	MT939486	MT939487
344151	328000	319751	335920	16152	16170	99.05	MT939486	MT939487
16215	28364	15815	27970	12150	12156	98.69	MT939486	MT939487
327996	325057	335920	338856	2940	2937	99.29	MT939486	MT939487
30574	61494	30178	61089	30921	30912	99.05	MT939486	MT939487
325071	313195	338843	350719	11877	11877	99.22	MT939486	MT939487
313222	312005	351856	353073	1218	1218	97.29	MT939486	MT939487
310232	308745	353889	355376	1488	1488	100.0	MT939486	MT939487
310336	308747	353752	355374	1590	1623	93.16	MT939486	MT939487
308744	306474	307253	304983	2271	2271	99.08	MT939486	MT939487
304128	301468	302639	299979	2661	2661	99.21	MT939486	MT939487
61493	68677	61087	68271	7185	7185	99.04	MT939486	MT939487
68651	75004	68243	74596	6354	6354	99.06	MT939486	MT939487
259431	258760	258692	258021	672	672	91.96	MT939486	MT939487
99330	101129	98587	100386	1800	1800	97.17	MT939486	MT939487
99284	101131	98541	100388	1848	1848	96.1	MT939486	MT939487
205089	175210	204342	174469	29880	29874	99.58	MT939486	MT939487
175215	105547	174475	104804	69669	69672	99.42	MT939486	MT939487
205084	258798	204338	258058	53715	53721	99.47	MT939486	MT939487
105549	101101	104807	100359	4449	4449	99.06	MT939486	MT939487
98976	75001	98555	74592	23976	23964	99.19	MT939486	MT939487
260963	266248	260007	265292	5286	5286	98.35	MT939486	MT939487
266246	275821	265291	274863	9576	9573	99.06	MT939486	MT939487
275760	281429	274804	280473	5670	5670	99.15	MT939486	MT939487
282057	291656	280572	290171	9600	9600	99.66	MT939486	MT939487
291649	296616	290163	295130	4968	4968	98.73	MT939486	MT939487
296613	298841	295129	297354	2229	2226	98.79	MT939486	MT939487
298840	301476	297352	299988	2637	2637	99.66	MT939486	MT939487
304123	306477	302633	304987	2355	2355	98.85	MT939486	MT939487
311076	311813	354006	353263	738	744	97.98	MT939486	MT939487
311086	311814	353990	353262	729	729	98.35	MT939486	MT939487
30582	28342	30187	27947	2241	2241	99.73	MT939486	MT939487
15859	13253	15395	12798	2607	2598	98.39	MT939486	MT939487
13258	12806	12804	12352	453	453	98.68	MT939486	MT939487
12812	2991	12357	2530	9822	9828	98.69	MT939486	MT939487
347967	351515	316703	313188	3549	3516	97.04	MT939486	MT939487
354935	355306	310013	309651	372	363	86.29	MT939486	MT939487
354934	355248	310014	309700	315	315	98.1	MT939486	MT939487
2578	2	2578	2	2577	2577	99.19	MT939486	MT939487
355892	356518	309529	308903	627	627	78.77	MT939486	MT939487
357226	357891	308159	307494	666	666	96.4	MT939486	MT939487
222	788	227	811	567	585	83.76	MT939487	MT939488
701	3454	692	3436	2754	2745	98.04	MT939487	MT939488
353073	333397	354663	334990	19677	19674	98.66	MT939487	MT939488
8645	11650	8571	11576	3006	3006	98.2	MT939487	MT939488
11630	12901	11557	12828	1272	1272	97.64	MT939487	MT939488
12898	13371	12826	13299	474	474	98.73	MT939487	MT939488
13366	15396	13295	15340	2031	2046	88.42	MT939487	MT939488
