REF_START	REF_END	QUERY_START	QUERY_END	REF_LENGTH	QUERY_LENGTH	IDENTITY	REF_NAME	QUERY_NAME
1	15390	1	15407	15390	15407	98.59	NC_000913	NC_002695
20564	50311	24969	54725	29748	29757	97.83	NC_000913	NC_002695
50399	66575	55374	71506	16177	16133	98.21	NC_000913	NC_002695
66747	75645	71508	80464	8899	8957	96.75	NC_000913	NC_002695
78854	111432	83461	116037	32579	32577	98.5	NC_000913	NC_002695
111550	127735	116039	132224	16186	16186	98.52	NC_000913	NC_002695
127883	147861	132255	152233	19979	19979	98.35	NC_000913	NC_002695
157306	173445	161628	177767	16140	16140	97.74	NC_000913	NC_002695
173601	184245	177800	188444	10645	10645	98.88	NC_000913	NC_002695
185088	192630	188574	196116	7543	7543	98.79	NC_000913	NC_002695
192776	231966	196120	235295	39191	39176	98.8	NC_000913	NC_002695
231941	237989	235492	241540	6049	6049	98.6	NC_000913	NC_002695
244229	257907	282196	295794	13679	13599	96.54	NC_000913	NC_002695
297715	312947	330124	345356	15233	15233	97.92	NC_000913	NC_002695
317439	325474	360152	368186	8036	8035	98.53	NC_000913	NC_002695
325472	331536	373134	379200	6065	6067	97.18	NC_000913	NC_002695
332682	340115	384170	391612	7434	7443	97.5	NC_000913	NC_002695
342726	349693	399422	406387	6968	6966	98.06	NC_000913	NC_002695
357675	367580	414464	424356	9906	9893	97.32	NC_000913	NC_002695
367591	374963	426191	433563	7373	7373	98.51	NC_000913	NC_002695
385194	390333	446196	451337	5140	5142	96.64	NC_000913	NC_002695
393300	408603	453079	468382	15304	15304	98.73	NC_000913	NC_002695
411178	424332	473162	486313	13155	13152	98.81	NC_000913	NC_002695
424343	430477	487973	494106	6135	6134	98.76	NC_000913	NC_002695
430539	437100	494794	501355	6562	6562	98.61	NC_000913	NC_002695
438276	489898	504329	555963	51623	51635	98.7	NC_000913	NC_002695
490126	497820	556021	563715	7695	7695	98.82	NC_000913	NC_002695
497978	508717	563769	574507	10740	10739	98.61	NC_000913	NC_002695
508682	513896	574371	579585	5215	5215	97.62	NC_000913	NC_002695
514429	526981	608226	620771	12553	12546	97.18	NC_000913	NC_002695
527982	564801	620576	657260	36820	36685	98.07	NC_000913	NC_002695
586057	593320	657214	664477	7264	7264	98.79	NC_000913	NC_002695
597109	608010	679644	690512	10902	10869	97.99	NC_000913	NC_002695
609348	624540	691004	706196	15193	15193	97.65	NC_000913	NC_002695
624724	639508	706194	720978	14785	14785	98.0	NC_000913	NC_002695
639639	687851	720993	769211	48213	48219	98.48	NC_000913	NC_002695
689046	699376	769207	779539	10331	10333	98.21	NC_000913	NC_002695
699547	715244	779570	795269	15698	15700	98.59	NC_000913	NC_002695
721047	733311	799474	811737	12265	12264	97.55	NC_000913	NC_002695
738944	751830	815590	828479	12887	12890	91.46	NC_000913	NC_002695
753203	762769	829848	839414	9567	9567	98.79	NC_000913	NC_002695
771372	777111	855878	861617	5740	5740	98.38	NC_000913	NC_002695
781791	805818	865654	889691	24028	24038	98.08	NC_000913	NC_002695
807328	832237	929694	954607	24910	24914	97.81	NC_000913	NC_002695
832975	845588	957415	970039	12614	12625	98.04	NC_000913	NC_002695
